"name","description","filename","public_url","md5sum"
"maize_v5_gff3","annotations for maize v5 genome","Zm-B73-REFERENCE-NAM-5.0_Zm00001eb.1.gff3","https://download.maizegdb.org/Zm-B73-REFERENCE-NAM-5.0/Zm-B73-REFERENCE-NAM-5.0_Zm00001eb.1.gff3.gz","f871ea0778b4f12992b3ee9ebb67d4b6"
"maize_v5_full_fasta","DNA sequences of the whole maize v5 genome","Zm-B73-REFERENCE-NAM-5.0.fa","https://download.maizegdb.org/Zm-B73-REFERENCE-NAM-5.0/Zm-B73-REFERENCE-NAM-5.0.fa.gz","42892bbb260cd0da9e14707ccdc433fa"
"maizegdb_gene_ids","list of traditional protein names and all related gene IDs according to maizegdb","maizegdb_gene_ids.txt",,"b762189e7b4664aaaac415bad8f96b70"
"all_maize_gene_ids","list of all gene IDs for all versions of maize, categorized by version","all_maize_gene_ids.txt",,"3935f794f6ab29bdb4b0e52e13f4f43f"
"maize_v4_full_fasta","DNA sequences of the whole maize v4 genome","Zm-B73-REFERENCE-GRAMENE-4.0.fa","https://download.maizegdb.org/Zm-B73-REFERENCE-GRAMENE-4.0/Zm-B73-REFERENCE-GRAMENE-4.0.fa.gz","6d7be7dc9ebcb34308b598fdba089a74"
"maize_v4_gff3","annotations for maize v4 genome","Zm-B73-REFERENCE-GRAMENE-4.0_Zm00001d.2.gff3","https://download.maizegdb.org/Zm-B73-REFERENCE-GRAMENE-4.0/Zm-B73-REFERENCE-GRAMENE-4.0_Zm00001d.2.gff3.gz","d9dbf9d80613dedb5f6c8c4b12839d0a"
"maize_v3_gff3","annotations for maize v3 genome, including UniProt IDs","Zea_mays.AGPv3.22.gff3","https://download.maizegdb.org/B73_RefGen_v3/Zea_mays.AGPv3.22.gff3.gz","4d8e6eb4e27de01b2860da3fb7e1453e"
"hmmer_output_example","example output from command “hmmscan”","hmmscan_output_example.txt",,"3198dea85c64a3ec60bf31585f3ddb21"
"maizegdb_gene_id_associations","master list of gene model associations from maizeGDB","MaizeGDB_B73_pangene_2020_11.tsv","https://download.maizegdb.org/Pan-genes/MaizeGDB_B73_pangene_2020_11.tsv.gz","dd6b6d7542c4ec123557829fa0facc96"
"itak_git_repo","git repository containing iTAK executable","master.zip","https://github.com/grotewold-lab/iTAK/archive/refs/heads/master.zip","03e176826c1ebb6c463288028cd19152"
"old_grassius_tfomes","all data for tfomes present in old grassius website","tfome_data.txt",,"a62a5978165d6f0e51fff1bee87dd15a"
"gene_interactions","list of gene interactions which can be downloaded from old grassius","Grassius_RegNet.xls",,"0f84447d734b01062a8dafd1d6b7672d"
"species_descriptions","description of each species, to appear on the website","species_descriptions.csv",,"dd53057467246554ccbf513b2ff718ca"
"secondary_structures","(Jan2022) secondary structures of protein transcripts, in html form","secondary_structures.csv",,"611797cc64fce5bcbfd5c417dde657fd"
"domain_descriptions","titles and descriptions for pfam domains, based on accession names","domain_descriptions.csv",,"ecd20eb7d6d0ab79f027610358aec567"
"domain_annotations","pfam domain annotations corresponding with maize protein sequences","all_maize_pfam.json.tar.gz",,"4d7a4e4f6bbe3870aa3fad71a58906f0"
"rice_cdna","fasta file with rice dna sequences from old grassius","Rice_dna.fa",,"42f3300b98825d4db1471c61542bd8c1"
"rice_proteins","fasta file with rice protein sequences from old grassius","Rice_pep.fa",,"93e42eb272a1e5cf7d21fe9d58c07e5c"
"sorghum_cdna","fasta file with sorghum dna sequences from old grassius","Sorghum_dna.fa",,"90cffd9ca7bc5ccc6ae1d719b37e6c67"
"sorghum_proteins","fasta file with sorghum protein sequences from old grassius","Sorghum_pep.fa",,"887c76d45602cbd06b04553640b4c56b"
"sugarcane_cdna","fasta file with sugarcane dna sequences from old grassius","Sugarcane_dna.fa",,"d7ebdbe4ba70a69eb0911f32530f907e"
"sugarcane_proteins","fasta file with sugarcane protein sequences from old grassius","Sugarcane_pep.fa",,"5e6d4b33bedbc7c5b7e9a0edb3a46097"
"brachypodium_cdna","fasta file with brachypodium dna sequences from old grassius","Brachypodium_dna.fa",,"5dd8425014e33b04ad67111dad684f9f"
"brachypodium_proteins","fasta file with brachypodium protein sequences from old grassius","Brachypodium_pep.fa",,"a785c51985d811069256338ea4b76c3c"
"old_non_maize_metadata","csv file with old grassius metadata for (rice,sorghum,surgarcan,brachypodium)","old_non_maize_metadata.csv",,"d0534d550561be37b4652f82eecc8294"
"2023_brachy_families","Dec2023 updated brachypodium gene-family categories","2023_brachy_families.tsv",,"95f1eb3ae5c81d974925b230769effce"
"2023_rice_families","Dec2023 updated rice gene-family categories","2023_rice_families.tsv",,"6ebfbdb3d81d837588a106b20e2e86d5"
"2023_sorghum_families","Dec2023 updated sorghum gene-family categories","2023_sorghum_families.tsv",,"0e4afa2a4add6e853904616d888e3530"
"2023_sugarcane_families","Dec2023 updated sugarcane gene-family categories","2023_sugarcane_families.tsv",,"8d5b96ab7e8c742def60c5e4463e085d"
"2023_gene_interactions","Jun2023 John Gray maize gene interactions","20231221-gene-interaction.sql.tar.gz",,"cd0a14d6fb44afc6480f1fccdedb732d"
