,gene_id,name,family,class
66,Sb03g026470,SbMYBR28,MYB-related,TF
67,Sb09g002086,SbMYBR58,MYB-related,TF
68,Sb09g003310,SbMYBR62,MYB-related,TF
69,Sb10g000590,SbMYBR72,MYB-related,TF
70,Sb03g005480,SbMYBR25,MYB-related,TF
71,Sb01g007950,SbMYBR1,MYB-related,TF
72,Sb09g030390,SbMYBR71,MYB-related,TF
73,Sb03g030330,SbMYBR32,MYB-related,TF
74,Sb01g041425,SbMYBR12,MYB-related,TF
75,Sb07g003870,SbMYBR52,MYB-related,TF
76,Sb01g016710,SbMYBR6,MYB-related,TF
77,Sb03g003005,SbMYBR21,MYB-related,TF
78,Sb04g031820,SbMYBR40,MYB-related,TF
79,Sb10g009650,SbMYBR78,MYB-related,TF
80,Sb09g021770,SbMYBR67,MYB-related,TF
81,Sb10g009580,SbMYBR77,MYB-related,TF
82,Sb01g020596,SbMYBR7,MYB-related,TF
83,Sb01g047840,SbMYBR13,MYB-related,TF
84,Sb04g010300,SbMYBR37,MYB-related,TF
85,Sb09g028790,SbMYBR68,MYB-related,TF
86,Sb02g034873,SbMYBR18,MYB-related,TF
87,Sb03g005080,SbMYBR24,MYB-related,TF
88,Sb08g001820,SbMYBR55,MYB-related,TF
89,Sb06g026500,SbMYBR48,MYB-related,TF
90,Sb04g031590,SbMYBR39,MYB-related,TF
91,Sb10g009660,SbMYBR79,MYB-related,TF
92,Sb07g004450,SbMYBR53,MYB-related,TF
93,Sb01g013670,SbMYBR5,MYB-related,TF
94,Sb05g027370,SbMYBR44,MYB-related,TF
95,Sb01g050320,SbMYBR15,MYB-related,TF
96,Sb10g007420,SbMYBR76,MYB-related,TF
97,Sb09g029560,SbMYBR69,MYB-related,TF
98,Sb02g028460,SbMYBR17,MYB-related,TF
99,Sb03g028170,SbMYBR30,MYB-related,TF
100,Sb01g012460,SbMYBR3,MYB-related,TF
101,Sb10g005020,SbMYBR73,MYB-related,TF
102,Sb07g003330,SbMYBR51,MYB-related,TF
103,Sb07g001792,SbMYBR49,MYB-related,TF
104,Sb01g029350,SbMYBR11,MYB-related,TF
105,Sb01g050010,SbMYBR14,MYB-related,TF
106,Sb02g020870,SbMYBR16,MYB-related,TF
107,Sb10g006570,SbMYBR75,MYB-related,TF
108,Sb03g000930,SbMYBR20,MYB-related,TF
109,Sb06g020190,SbMYBR47,MYB-related,TF
110,Sb01g029020,SbMYBR9,MYB-related,TF
111,Sb09g029575,SbMYBR70,MYB-related,TF
112,Sb04g010280,SbMYBR36,MYB-related,TF
113,Sb03g028950,SbMYBR31,MYB-related,TF
114,Sb04g006410,SbMYBR35,MYB-related,TF
115,Sb07g027680,SbMYBR54,MYB-related,TF
116,Sb01g028870,SbMYBR8,MYB-related,TF
117,Sb09g003300,SbMYBR61,MYB-related,TF
118,Sb10g030960,SbMYBR80,MYB-related,TF
119,Sb09g003350,SbMYBR63,MYB-related,TF
120,Sb01g009800,SbMYBR2,MYB-related,TF
121,Sb09g003390,SbMYBR65,MYB-related,TF
122,Sb03g032530,SbMYBR33,MYB-related,TF
123,Sb03g011280,SbMYBR27,MYB-related,TF
124,Sb08g004790,SbMYBR56,MYB-related,TF
125,Sb08g005140,SbMYBR57,MYB-related,TF
126,Sb04g036955,SbMYBR42,MYB-related,TF
127,Sb06g000850,SbMYBR45,MYB-related,TF
128,Sb01g013080,SbMYBR4,MYB-related,TF
129,Sb05g005230,SbMYBR43,MYB-related,TF
130,Sb04g030510,SbMYBR38,MYB-related,TF
131,Sb07g003170,SbMYBR50,MYB-related,TF
132,Sb03g003270,SbMYBR23,MYB-related,TF
133,Sb03g027120,SbMYBR29,MYB-related,TF
134,Sb04g035300,SbMYBR41,MYB-related,TF
135,Sb01g029290,SbMYBR10,MYB-related,TF
136,Sb09g006060,SbMYBR66,MYB-related,TF
137,Sb10g005480,SbMYBR74,MYB-related,TF
138,Sb09g002290,SbMYBR59,MYB-related,TF
139,Sb06g008585,SbMYBR46,MYB-related,TF
140,Sb03g006450,SbMYBR26,MYB-related,TF
141,Sb03g003100,SbMYBR22,MYB-related,TF
142,Sb03g040730,SbMYBR34,MYB-related,TF
143,Sb09g003360,SbMYBR64,MYB-related,TF
144,PTSo00864.1,ScMYBR35,MYB-related,TF
145,SCQGLB1039C03.g,ScMYB100,MYB-related,TF
146,PTSo00494.1,ScGLK35,MYB-related,TF
147,SCVPLR1006H07.g,ScMYB79,MYB-related,TF
148,SCCCRZ1C01B03.g,ScMYB27,MYB-related,TF
149,PTSo00876.1,ScMYBR13,MYB-related,TF
150,PTSo00859.1,ScMYBR9,MYB-related,TF
151,PTSo00873.1,ScMYBR39,MYB-related,TF
152,SCSGST1070F10.g,ScMYB73,MYB-related,TF
153,PTSo00502.1,ScGLK26,MYB-related,TF
154,PTSo00870.1,ScMYBR27,MYB-related,TF
155,PTSo00848.1,ScMYBR41,MYB-related,TF
156,PTSo00847.1,ScMYBR23,MYB-related,TF
157,PTSo00836.1,ScMYBR15,MYB-related,TF
158,PTSo00841.1,ScMYBR44,MYB-related,TF
159,SCUTFL1055H03.g,ScMYB75,MYB-related,TF
160,SCQSLB1050H04.g,ScMYB92,MYB-related,TF
161,SCMCSD1061C11.g,ScMYB50,MYB-related,TF
162,PTSo00852.1,ScMYBR12,MYB-related,TF
163,PTSo00495.1,ScGLK33,MYB-related,TF
164,SCUTRZ3103F02.g,ScMYB76,MYB-related,TF
165,SCRUSB1062G07.g,ScMYB62,MYB-related,TF
166,PTSo00856.1,ScMYBR4,MYB-related,TF
167,PTSo00865.1,ScMYBR11,MYB-related,TF
168,PTSo00854.1,ScMYBR31,MYB-related,TF
169,SCSBAD1051B03.g,ScMYB63,MYB-related,TF
170,SCCCRT1C02H06.g,ScMYB25,MYB-related,TF
171,SCACCL6007B07.g,ScMYB1,MYB-related,TF
172,SCBGSB1026H10.g,ScMYB94,MYB-related,TF
173,PTSo00838.1,ScMYBR42,MYB-related,TF
174,PTSo00871.1,ScMYBR2,MYB-related,TF
175,SCCCLR1C05A09.g,ScMYB21,MYB-related,TF
176,SCEQRT2027F03.g,ScMYB32,MYB-related,TF
177,PTSo00832.1,ScMYBR7,MYB-related,TF
178,SCRUFL4021G08.g,ScMYB59,MYB-related,TF
179,PTSo00834.1,ScMYBR18,MYB-related,TF
180,SCSFRT2068G06.g,ScMYB91,MYB-related,TF
181,PTSo00869.1,ScMYBR16,MYB-related,TF
182,PTSo00861.1,ScMYBR1,MYB-related,TF
183,PTSo00825.1,ScMYBR24,MYB-related,TF
184,SCJFRT2059H08.g,ScMYB40,MYB-related,TF
185,SCACST3159E04.g,ScMYB3,MYB-related,TF
186,SCSBRZ2021G05.g,ScMYB69,MYB-related,TF
187,SCCCCL3120F06.g,ScMYB89,MYB-related,TF
188,PTSo00862.1,ScMYBR32,MYB-related,TF
189,SCSBAD1051C05.g,ScMYB113,MYB-related,TF
190,SCCCCL3004A05.b,ScMYB13,MYB-related,TF
191,SCEQRT1024G12.g,ScMYB30,MYB-related,TF
192,SCBGLR1099F04.g,ScMYB97,MYB-related,TF
193,PTSo00833.1,ScMYBR40,MYB-related,TF
194,SCBFRT1071C02.g,ScMYB6,MYB-related,TF
195,PTSo00828.1,ScMYBR20,MYB-related,TF
196,PTSo00872.1,ScMYBR10,MYB-related,TF
197,PTSo00826.1,ScMYBR33,MYB-related,TF
198,PTSo00827.1,ScMYBR21,MYB-related,TF
199,SCSBAD1083E01.g,ScMYB65,MYB-related,TF
200,PTSo00855.1,ScMYBR34,MYB-related,TF
201,SCBFAM2120A10.g,ScMYB5,MYB-related,TF
202,PTSo00845.1,ScMYBR30,MYB-related,TF
203,SCBFRZ2018G09.g,ScMYB8,MYB-related,TF
204,SCCCLR1048E10.g,ScMYB19,MYB-related,TF
205,PTSo00843.1,ScMYBR5,MYB-related,TF
206,PTSo00851.1,ScMYBR25,MYB-related,TF
207,SCVPAM1058H01.g,ScMYB78,MYB-related,TF
208,PTSo00835.1,ScMYBR22,MYB-related,TF
209,SCJLLR1033C06.g,ScMYB109,MYB-related,TF
210,SCQSSB1055E03.g,ScMYB55,MYB-related,TF
211,SCBGST3108C08.g,ScMYB107,MYB-related,TF
212,PTSo00505.1,ScGLK14,MYB-related,TF
213,PTSo00842.1,ScMYBR38,MYB-related,TF
214,PTSo00474.1,ScGLK28,MYB-related,TF
215,PTSo00863.1,ScMYBR6,MYB-related,TF
216,SCMCRT2103D04.g,ScMYB47,MYB-related,TF
217,SCRLRT3031B06.g,ScMYB58,MYB-related,TF
218,PTSo00829.1,ScMYBR14,MYB-related,TF
219,SCJLAM2091B07.g,ScMYB86,MYB-related,TF
220,PTSo00837.1,ScMYBR19,MYB-related,TF
221,SCACLB1046H03.g,ScMYB114,MYB-related,TF
222,SCEZRZ1012A11.g,ScMYB37,MYB-related,TF
223,PTSo00850.1,ScMYBR3,MYB-related,TF
224,PTSo00844.1,ScMYBR8,MYB-related,TF
225,PTSo00874.1,ScMYBR17,MYB-related,TF
226,PTSo00506.1,ScGLK18,MYB-related,TF
227,SCUTAM2007E07.g,ScMYB74,MYB-related,TF
228,SCSBHR1056H09.g,ScMYB68,MYB-related,TF
229,PTSo00839.1,ScMYBR37,MYB-related,TF
230,LOC_Os05g10690,OsMYBR44,MYB-related,TF
231,LOC_Os01g44370,OsMYBR13,MYB-related,TF
232,LOC_Os03g45194,,MYB-related,TF
233,LOC_Os03g62379,OsMYBR36,MYB-related,TF
234,LOC_Os11g08080,OsMYBR77,MYB-related,TF
235,LOC_Os02g17190,OsMYBR19,MYB-related,TF
236,LOC_Os01g12700,OsMYBR8,MYB-related,TF
237,LOC_Os07g44090,OsMYB91,MYB-related,TF
238,LOC_Os02g30700,OsMYB27,MYB-related,TF
239,LOC_Os06g08290,OsMYBR57,MYB-related,TF
240,LOC_Os03g53960,OsMYBR33,MYB-related,TF
241,LOC_Os03g62100,OsMYBR35,MYB-related,TF
242,LOC_Os06g51260,OsMYBR63,MYB-related,TF
243,LOC_Os05g51160,OsMYBR50,MYB-related,TF
244,LOC_Os08g39980,OsMYBR70,MYB-related,TF
245,LOC_Os04g49450,OsMYBR42,MYB-related,TF
246,LOC_Os12g33950,OsMYBR79,MYB-related,TF
247,LOC_Os03g25304,OsMYBR29,MYB-related,TF
248,LOC_Os06g14010,OsMYBR58,MYB-related,TF
249,LOC_Os08g04840,OsMYBR67,MYB-related,TF
250,LOC_Os10g41200,OsMYBR75,MYB-related,TF
251,LOC_Os02g46030,OsMYBR22,MYB-related,TF
252,LOC_Os07g26150,OsMYBR64,MYB-related,TF
253,LOC_Os09g31454,OsMYBR72,MYB-related,TF
254,LOC_Os01g07430,OsMYBR3,MYB-related,TF
255,LOC_Os07g25370,OsMYB86,MYB-related,TF
256,LOC_Os05g07010,OsMYBR43,MYB-related,TF
257,LOC_Os06g45840,OsMYBR62,MYB-related,TF
258,LOC_Os05g50350,OsMYBR49,MYB-related,TF
259,LOC_Os08g05510,OsMYBR68,MYB-related,TF
260,LOC_Os06g07650,OsMYBR54,MYB-related,TF
261,LOC_Os01g11200,OsMYBR7,MYB-related,TF
262,LOC_Os01g51154,OsMYBR16,MYB-related,TF
263,LOC_Os01g06320,OsMYBR2,MYB-related,TF
264,LOC_Os01g41900,OsMYBR11,MYB-related,TF
265,LOC_Os07g25150,,MYB-related,TF
266,LOC_Os06g14710,OsMYBR59,MYB-related,TF
267,LOC_Os01g47370,OsMYBR15,MYB-related,TF
268,LOC_Os12g07730,OsMYBR78,MYB-related,TF
269,LOC_Os01g09640,OsMYBR5,MYB-related,TF
270,LOC_Os04g27410,OsMYBR39,MYB-related,TF
271,LOC_Os03g63890,OsMYBR37,MYB-related,TF
272,LOC_Os02g10060,OsMYBR18,MYB-related,TF
273,LOC_Os01g34060,OsMYBR9,MYB-related,TF
274,LOC_Os06g04960,OsMYBR52,MYB-related,TF
275,LOC_Os03g13790,OsMYBR26,MYB-related,TF
276,LOC_Os01g09280,OsMYBR4,MYB-related,TF
277,LOC_Os03g51220,OsMYBR32,MYB-related,TF
278,LOC_Os01g43180,OsMYBR12,MYB-related,TF
279,LOC_Os04g30890,OsMYB51,MYB-related,TF
280,LOC_Os05g37730,OsMYB68,MYB-related,TF
281,LOC_Os12g41920,OsMYBR80,MYB-related,TF
282,LOC_Os06g14700,OsMYB79,MYB-related,TF
283,LOC_Os02g42850,OsMYB31,MYB-related,TF
284,LOC_Os04g58020,OsMYB61,MYB-related,TF
285,LOC_Os10g41260,OsMYBR76,MYB-related,TF
286,LOC_Os04g01970,OsMYBR38,MYB-related,TF
287,LOC_Os06g01670,OsMYBR51,MYB-related,TF
288,LOC_Os06g07640,OsMYBR53,MYB-related,TF
289,LOC_Os07g30130,OsMYBR65,MYB-related,TF
290,LOC_Os02g49250,OsMYB34,MYB-related,TF
291,LOC_Os01g40670,OsMYBR10,MYB-related,TF
292,LOC_Os01g09760,OsMYBR6,MYB-related,TF
293,LOC_Os02g45670,OsMYBR21,MYB-related,TF
294,LOC_Os10g30690,OsMYBR73,MYB-related,TF
295,LOC_Os07g49530,OsMYBR66,MYB-related,TF
296,LOC_Os05g37050,OsMYBR46,MYB-related,TF
297,LOC_Os03g19630,OsMYBR27,MYB-related,TF
298,LOC_Os04g40420,OsMYBR40,MYB-related,TF
299,LOC_Os08g06110,OsMYBR69,MYB-related,TF
300,LOC_Os05g02420,,MYB-related,TF
301,Bradi1g53770,BdNAC19,NAC,TF
302,Bradi4g02060,BdNAC66,NAC,TF
303,Bradi2g46197,BdNAC38,NAC,TF
304,Bradi2g25150,BdNAC34,NAC,TF
305,Bradi3g17287,BdNAC53,NAC,TF
306,Bradi2g60620,BdNAC45,NAC,TF
307,Bradi2g46430,BdNAC39,NAC,TF
308,Bradi3g47627,BdNAC61,NAC,TF
309,Bradi4g13560,BdNAC69,NAC,TF
310,Bradi5g16917,BdNAC98,NAC,TF
311,Bradi2g24790,BdNAC32,NAC,TF
312,Bradi3g13117,BdNAC49,NAC,TF
313,Bradi4g24100,BdNAC74,NAC,TF
314,Bradi1g38730,BdNAC13,NAC,TF
315,Bradi2g55780,BdNAC42,NAC,TF
316,Bradi1g69617,BdNAC24,NAC,TF
317,Bradi4g43020,BdNAC86,NAC,TF
318,Bradi1g29857,BdNAC9,NAC,TF
319,Bradi2g46980,BdNAC40,NAC,TF
320,Bradi3g56080,BdNAC64,NAC,TF
321,Bradi4g40880,BdNAC82,NAC,TF
322,Bradi1g77217,BdNAC26,NAC,TF
323,Bradi1g50057,BdNAC16,NAC,TF
324,Bradi3g46900,BdNAC60,NAC,TF
325,Bradi3g37067,BdNAC58,NAC,TF
326,Bradi2g09530,BdNAC29,NAC,TF
327,Bradi4g03620,BdNAC67,NAC,TF
328,Bradi2g33307,BdNAC36,NAC,TF
329,Bradi3g09520,BdNAC46,NAC,TF
330,Bradi5g11247,BdNAC90,NAC,TF
331,Bradi4g22680,BdNAC71,NAC,TF
332,Bradi4g37327,BdNAC81,NAC,TF
333,Bradi3g50067,BdNAC62,NAC,TF
334,Bradi5g15230,BdNAC96,NAC,TF
335,Bradi4g44000,BdNAC88,NAC,TF
336,Bradi1g04150,BdNAC3,NAC,TF
337,Bradi1g01650,BdNAC2,NAC,TF
338,Bradi4g24060,BdNAC73,NAC,TF
339,Bradi3g54817,BdNAC63,NAC,TF
340,Bradi1g52480,BdNAC18,NAC,TF
341,Bradi4g34800,BdNAC80,NAC,TF
342,Bradi5g12407,BdNAC91,NAC,TF
343,Bradi2g46020,BdNAC37,NAC,TF
344,Bradi1g06970,BdNAC4,NAC,TF
345,Bradi3g10540,BdNAC47,NAC,TF
346,Bradi4g26600,BdNAC76,NAC,TF
347,Bradi1g76207,BdNAC25,NAC,TF
348,Bradi2g23967,BdNAC31,NAC,TF
349,Bradi3g16480,BdNAC52,NAC,TF
350,Bradi4g34022,BdNAC78,NAC,TF
351,Bradi3g59380,BdNAC65,NAC,TF
352,Bradi1g32660,BdNAC10,NAC,TF
353,Bradi3g13727,BdNAC51,NAC,TF
354,Bradi4g26470,BdNAC75,NAC,TF
355,Bradi3g41470,BdNAC59,NAC,TF
356,Bradi5g13450,BdNAC93,NAC,TF
357,Bradi4g34157,BdNAC79,NAC,TF
358,Bradi5g27467,BdNAC100,NAC,TF
359,Bradi1g63630,BdNAC23,NAC,TF
360,Bradi3g36670,BdNAC57,NAC,TF
361,Bradi4g43330,BdNAC87,NAC,TF
362,Bradi2g05700,BdNAC28,NAC,TF
363,Bradi4g13570,BdNAC70,NAC,TF
364,Bradi3g33680,BdNAC55,NAC,TF
365,Bradi1g17440,BdNAC6,NAC,TF
366,Bradi3g33957,BdNAC56,NAC,TF
367,Bradi2g57100,BdNAC43,NAC,TF
368,Bradi5g14740,BdNAC94,NAC,TF
369,Bradi1g48580,BdNAC15,NAC,TF
370,Bradi1g58057,BdNAC20,NAC,TF
371,Bradi3g33320,BdNAC54,NAC,TF
372,Bradi4g30177,BdNAC77,NAC,TF
373,Bradi5g21010,BdNAC99,NAC,TF
374,Bradi3g12470,BdNAC48,NAC,TF
375,Bradi5g10640,BdNAC89,NAC,TF
376,Bradi5g14950,BdNAC95,NAC,TF
377,Bradi2g53260,BdNAC41,NAC,TF
378,Bradi1g01640,BdNAC1,NAC,TF
379,Bradi1g14467,BdNAC5,NAC,TF
380,Bradi4g41200,BdNAC83,NAC,TF
381,Bradi1g58520,BdNAC21,NAC,TF
382,Bradi1g37900,BdNAC12,NAC,TF
383,Bradi1g52187,BdNAC17,NAC,TF
384,Bradi4g07527,BdNAC68,NAC,TF
385,Bradi1g43840,BdNAC14,NAC,TF
386,Bradi2g20590,BdNAC30,NAC,TF
387,Bradi1g63600,BdNAC22,NAC,TF
388,Bradi4g43010,BdNAC85,NAC,TF
389,Bradi5g13300,BdNAC92,NAC,TF
390,Bradi4g42180,BdNAC84,NAC,TF
391,Bradi4g23640,BdNAC72,NAC,TF
392,Bradi2g28020,BdNAC35,NAC,TF
393,Bradi5g15587,BdNAC97,NAC,TF
394,Bradi1g17480,BdNAC7,NAC,TF
395,Bradi2g03467,BdNAC27,NAC,TF
396,Bradi2g24987,BdNAC33,NAC,TF
397,Bradi2g57297,BdNAC44,NAC,TF
398,Bradi3g13630,BdNAC50,NAC,TF
399,Bradi1g36200,BdNAC11,NAC,TF
400,Bradi1g24390,BdNAC8,NAC,TF
401,Sb07g003900,SbNAC92,NAC,TF
402,Sb05g005450,SbNAC71,NAC,TF
403,Sb03g003170,SbNAC36,NAC,TF
404,Sb01g049240,SbNAC18,NAC,TF
405,Sb06g034010,SbNAC87,NAC,TF
406,Sb04g023990,SbNAC56,NAC,TF
407,Sb01g048730,SbNAC17,NAC,TF
408,Sb05g004880,SbNAC70,NAC,TF
409,Sb02g043270,SbNAC34,NAC,TF
410,Sb02g043210,SbNAC33,NAC,TF
411,Sb01g048130,SbNAC16,NAC,TF
412,Sb01g014310,SbNAC8,NAC,TF
413,Sb05g008290,SbNAC72,NAC,TF
414,Sb03g045610,SbNAC52,NAC,TF
415,Sb06g024980,SbNAC85,NAC,TF
416,Sb08g006330,SbNAC101,NAC,TF
417,Sb03g008470,SbNAC37,NAC,TF
418,Sb05g003400,SbNAC67,NAC,TF
419,Sb03g041920,SbNAC49,NAC,TF
420,Sb08g022560,SbNAC104,NAC,TF
421,Sb07g000470,SbNAC89,NAC,TF
422,Sb10g009670,SbNAC118,NAC,TF
423,Sb01g002900,SbNAC3,NAC,TF
424,Sb05g004870,SbNAC69,NAC,TF
425,Sb06g019010,SbNAC79,NAC,TF
426,Sb03g040720,SbNAC48,NAC,TF
427,Sb02g002620,SbNAC19,NAC,TF
428,Sb03g000330,SbNAC35,NAC,TF
429,Sb06g000533,SbNAC75,NAC,TF
430,Sb09g028430,SbNAC113,NAC,TF
431,Sb01g003710,SbNAC4,NAC,TF
432,Sb03g044440,SbNAC51,NAC,TF
433,Sb10g027100,SbNAC122,NAC,TF
434,Sb01g030760,SbNAC11,NAC,TF
435,Sb02g032230,SbNAC30,NAC,TF
436,Sb02g006680,SbNAC20,NAC,TF
437,Sb03g009330,SbNAC40,NAC,TF
438,Sb04g033570,SbNAC60,NAC,TF
439,Sb07g021400,SbNAC95,NAC,TF
440,Sb06g017720,SbNAC78,NAC,TF
441,Sb09g006015,SbNAC105,NAC,TF
442,Sb03g037940,SbNAC47,NAC,TF
443,Sb06g020103,SbNAC82,NAC,TF
444,Sb08g021080,SbNAC103,NAC,TF
445,Sb02g023960,SbNAC22,NAC,TF
446,Sb07g021200,SbNAC94,NAC,TF
447,Sb10g030770,SbNAC123,NAC,TF
448,Sb02g007960,SbNAC21,NAC,TF
449,Sb03g037830,SbNAC46,NAC,TF
450,Sb01g003775,SbNAC5,NAC,TF
451,Sb05g024550,SbNAC74,NAC,TF
452,Sb05g004580,SbNAC68,NAC,TF
453,Sb09g020880,SbNAC111,NAC,TF
454,Sb07g005610,SbNAC93,NAC,TF
455,Sb04g028015,SbNAC59,NAC,TF
456,Sb06g017190,SbNAC77,NAC,TF
457,Sb08g004860,SbNAC100,NAC,TF
458,Sb08g001940,SbNAC99,NAC,TF
459,Sb10g000101,SbNAC114,NAC,TF
460,Sb07g001550,SbNAC91,NAC,TF
461,Sb09g020750,SbNAC110,NAC,TF
462,Sb03g031000,SbNAC44,NAC,TF
463,Sb08g001520,SbNAC98,NAC,TF
464,Sb01g022100,SbNAC9,NAC,TF
465,Sb03g030997,SbNAC43,NAC,TF
466,Sb04g009180,SbNAC53,NAC,TF
467,Sb05g001580,SbNAC64,NAC,TF
468,Sb03g035820,SbNAC45,NAC,TF
469,Sb02g032220,SbNAC29,NAC,TF
470,Sb02g028750,SbNAC26,NAC,TF
471,Sb02g029460,SbNAC28,NAC,TF
472,Sb01g001830,SbNAC2,NAC,TF
473,Sb01g006410,SbNAC7,NAC,TF
474,Sb09g008000,SbNAC107,NAC,TF
475,Sb02g024530,SbNAC23,NAC,TF
476,Sb02g028870,SbNAC27,NAC,TF
477,Sb03g008860,SbNAC38,NAC,TF
478,Sb09g021780,SbNAC112,NAC,TF
479,Sb02g026510,SbNAC25,NAC,TF
480,Sb10g020860,SbNAC120,NAC,TF
481,Sb02g036620,SbNAC32,NAC,TF
482,Sb06g000536,SbNAC76,NAC,TF
483,Sb03g009320,SbNAC39,NAC,TF
484,Sb01g001790,SbNAC1,NAC,TF
485,Sb04g036640,SbNAC62,NAC,TF
486,Sb06g020100,SbNAC81,NAC,TF
487,Sb03g042210,SbNAC50,NAC,TF
488,Sb04g022672,SbNAC55,NAC,TF
489,Sb04g026440,SbNAC58,NAC,TF
490,Sb05g001590,SbNAC65,NAC,TF
491,Sb07g023900,SbNAC96,NAC,TF
492,Sb03g030750,SbNAC42,NAC,TF
493,Sb07g001400,SbNAC90,NAC,TF
494,Sb06g028800,SbNAC86,NAC,TF
495,Sb06g022080,SbNAC83,NAC,TF
496,Sb03g010130,SbNAC41,NAC,TF
497,Sb01g028450,SbNAC10,NAC,TF
498,Sb01g042570,SbNAC15,NAC,TF
499,Sb06g023780,SbNAC84,NAC,TF
500,Sb05g021151,SbNAC73,NAC,TF
501,Sb02g024593,SbNAC24,NAC,TF
502,Sb09g018837,SbNAC108,NAC,TF
503,Sb02g032670,SbNAC31,NAC,TF
504,Sb09g020590,SbNAC109,NAC,TF
505,Sb08g014060,SbNAC102,NAC,TF
506,Sb09g006018,SbNAC106,NAC,TF
507,Sb06g019930,SbNAC80,NAC,TF
508,Sb10g002120,SbNAC116,NAC,TF
509,Sb10g000460,SbNAC115,NAC,TF
510,Sb10g022130,SbNAC121,NAC,TF
511,Sb06g034210,SbNAC88,NAC,TF
512,Sb10g020850,SbNAC119,NAC,TF
513,Sb05g002390,SbNAC66,NAC,TF
514,Sb10g007890,SbNAC117,NAC,TF
515,Sb01g004195,SbNAC6,NAC,TF
516,Sb01g036590,SbNAC14,NAC,TF
517,Sb04g036340,SbNAC61,NAC,TF
518,Sb01g036560,SbNAC13,NAC,TF
519,Sb04g024780,SbNAC57,NAC,TF
520,Sb01g034410,SbNAC12,NAC,TF
521,Sb04g011170,SbNAC54,NAC,TF
