grassius_name	uniprot_id	alleles
ZmbHLH10	A0A1D6NTN6	GRMZM2G067654,Zm00001d045107,Zm00001eb374700
ZmARR2	K7VE33	GRMZM2G409974,Zm00001d045112,Zm00001eb374760
ZmMYBR19	K7VE71	GRMZM2G402156,Zm00001d045162,Zm00001eb375260
ZmEREB122	K7W642	GRMZM2G301860,Zm00001d045204,Zm00001eb375580
ZmMBF1	C0P5I3	GRMZM2G051135,Zm00001d046471,Zm00001eb386040
ZmbHLH125	A0A1D6NUL6	GRMZM2G017349,Zm00001d045212,Zm00001eb375660
ZmbZIP80	K7VAC7	GRMZM2G140355,Zm00001d046402,Zm00001eb385610
ZmMADS61	A0A1D6NUQ5	GRMZM2G531231,Zm00001d045227,Zm00001eb375760,Zm00001eb375800
ZmEREB175	A0A3L6D8M1	GRMZM2G429378,Zm00001d045262,Zm00001eb376110
ZmWRKY118	K7VAJ9	GRMZM2G003551,Zm00001d045283,Zm00001eb376400
ZmHB77	K7VEZ8	GRMZM2G134260,Zm00001d045398,Zm00001eb377480,Zm00001eb377490
ZmOrphan243	A0A1D6NVA1	GRMZM2G028594,GRMZM5G877388,Zm00001d045323,Zm00001eb376730,Zm00001eb376740
ZmWRKY39	A0A1D6NVJ5	AC193630.3_FG003,AC193630.3_FG004,Zm00001d045374,Zm00001d045375,Zm00001eb377160
ZmEREB33	K7VET6	GRMZM2G073982,Zm00001d045378,Zm00001eb377180
ZmHB4	K7VB56	GRMZM2G106276,Zm00001d045400,Zm00001eb377500
ZmNAC86	Q5NKQ3	GRMZM2G171395,Zm00001d045463,Zm00001eb378150
ZmBBR4	A0A1D6NW48	GRMZM2G118690,Zm00001d045477,Zm00001eb378270
ZmGRAS42	A0A1D6NWE2	AC234164.1_FG004,Zm00001d045507,Zm00001eb378590
ZmOrphan12	B7ZZU2	GRMZM2G119359,Zm00001d045533,Zm00001eb378820
ZmMYB148	K7V7T9	GRMZM2G044824,Zm00001d045560,Zm00001eb379110
ZmMYBR69	A0A1D6NX52	GRMZM2G135052,Zm00001d045581,Zm00001eb379300
ZmCADR12	K7V8D5	GRMZM2G167576,Zm00001d045772,Zm00001eb380770
ZmRcd1L5	A0A1D6P2B9	GRMZM2G088096,Zm00001d046373,Zm00001eb385320,Zm00001eb385330
ZmHB25	C0PGR4	GRMZM2G178102,Zm00001d041489,Zm00001eb136060
ZmGRAS32	A0A1D6NX76	GRMZM2G051785,Zm00001d045589,Zm00001eb379340
ZmNAC91	A0A1D6NXF2	GRMZM2G041668,Zm00001d045600,Zm00001eb379460
ZmNAC68	A0A1D6NXR6	GRMZM2G459156,GRMZM2G163914,Zm00001d045616,Zm00001d045617,Zm00001eb379550
ZmNAC117	K7VTB2	GRMZM2G163914,GRMZM2G459156,Zm00001d045616,Zm00001d045617,Zm00001eb379550
ZmCOL1	K7W7Y8	GRMZM2G405368,Zm00001d045735,Zm00001eb380460
ZmCOL6	K7VG92	GRMZM2G013398,Zm00001d045804,Zm00001eb380990
ZmC3H5	A0A1D6NZP3	GRMZM2G395842,Zm00001d045887,Zm00001eb381600
ZmNAC98	A0A1D6P1P3	GRMZM2G115721,Zm00001d046246,Zm00001eb384320
ZmHB21	C4IYV8	GRMZM2G076272,Zm00001d046223,Zm00001eb384240
ZmHAG33	A0A1D6II30	GRMZM5G813007,Zm00001d021956,Zm00001eb325850
ZmHSF12	K7VH39	GRMZM2G173090,Zm00001d046204,Zm00001eb384070
ZmbHLH34	A0A1D6P0V8	GRMZM2G045109,Zm00001d046096,Zm00001eb383050
ZmGLK2	A0A1D6P135	GRMZM2G333083,Zm00001d046174,Zm00001eb383720
ZmNAC124	K7W9B6	GRMZM2G104074,Zm00001d046126,Zm00001eb383230
ZmMADS47	K7VDU8	GRMZM2G099577,Zm00001d046053,Zm00001d046054,Zm00001eb382780
ZmEREB39	A0A3L6DHA6	GRMZM2G073047,Zm00001d046292,Zm00001eb384720
ZmHSF28	A0A3L6DHS7	GRMZM2G118047,Zm00001d046299,Zm00001eb384750,Zm00001eb384760
ZmBZR1	B4FKI7	GRMZM5G812774,Zm00001d046305,Zm00001eb384820
ZmMADS71	A0A1D6P230	GRMZM2G110582,Zm00001d046323,Zm00001eb384950
ZmbHLH98	A0A1D6P259	GRMZM2G340177,Zm00001d046346,Zm00001eb385110
ZmTHX29	A0A1D6PBQ1	GRMZM2G326783,Zm00001d047589,Zm00001eb395650
ZmGATA29	B4F991	GRMZM2G039586,Zm00001d046354,Zm00001eb385190
ZmHB87	K7VEK4	GRMZM2G163641,Zm00001d046405,Zm00001eb385620
ZmFARL14	K7WA82	GRMZM2G148940,Zm00001d046441,Zm00001eb385850
ZmDBP4	B4FDN2	GRMZM2G158734,Zm00001d046450,Zm00001eb385910
ZmMYB122	K7VW09	GRMZM2G416652,Zm00001d046517,Zm00001eb386350
ZmMYB82	K7VW09	GRMZM2G167088,Zm00001d046518,Zm00001eb386360
ZmMYB87	K7WAF3	GRMZM2G004090,Zm00001d046519,Zm00001eb386370
ZmbZIP93	B7ZYA0	GRMZM2G050912,Zm00001d046564,Zm00001eb386770
ZmHB72	P56660	GRMZM2G055243,Zm00001d046568,Zm00001eb386830
ZmEREB55	B4FTA8	GRMZM2G160730,Zm00001d046621,Zm00001eb387280
ZmMYB112	B6TWV8	GRMZM5G803308,Zm00001d046632,Zm00001eb387370
ZmEREB203	B4FET9	GRMZM2G104866,Zm00001d046651,Zm00001eb387490
ZmbZIP35	A0A1D6P4D7	GRMZM2G407631,Zm00001d046664,Zm00001eb387600
ZmOrphan309	A0A1D6P550	GRMZM2G398615,Zm00001d046828,Zm00001eb388780
ZmRcd1L10	K7VFF1	GRMZM5G870753,Zm00001d046678
ZmbZIP112	C4J6L7	GRMZM2G025812,Zm00001d046718,Zm00001eb388050
ZmTRAF5	B4FKJ5	GRMZM2G009724,Zm00001d046968,Zm00001eb389910
ZmARID10	C4J643	GRMZM5G883993,Zm00001d046719,Zm00001eb388060
ZmC3H18	C0P5G8	GRMZM2G151689,Zm00001d046740,Zm00001eb388180
ZmbZIP70	B8A0F0	GRMZM2G060290,Zm00001d046751,Zm00001eb388270
ZmOrphan286	A0A1D6P4U7	GRMZM2G360541,Zm00001d046753
ZmARR4	A0A3L6DGH1	GRMZM2G360523,Zm00001d046755,Zm00001eb388280
ZmbHLH69	A0A1D6P4V3	GRMZM2G378653,Zm00001d046759,Zm00001eb388300
ZmWRKY124	K7VBH9	GRMZM2G111711,Zm00001d046805,Zm00001eb388620
ZmOrphan66	K7WB36	GRMZM2G065394,Zm00001d046778,Zm00001eb388430
ZmGRAS70	A0A1D6P4Z1	GRMZM2G114680,Zm00001d046783,Zm00001eb388460
ZmOrphan19	K7VJJ1	GRMZM2G091061
ZmOrphan62	K7VJJ3	GRMZM2G047376,Zm00001d046831,Zm00001eb388790
ZmOrphan29	K7VX54	GRMZM2G104076
ZmCOL4	K7VBR1	GRMZM2G107886,Zm00001d045661,Zm00001eb379950
ZmEREB152	A0A1D6P5F4	GRMZM2G139082,Zm00001d046913,Zm00001eb389400
ZmMED26_9	A0A1D6P658	AC234158.1_FG005,Zm00001d047028,Zm00001eb390440
ZmCOL13	K7WBK7	GRMZM2G038783,Zm00001d046925,Zm00001eb389540
ZmOrphan79	K7VBV0	GRMZM2G025579,Zm00001d046928,Zm00001eb389570
ZmbZIP17	B6TPC6	GRMZM2G103647,Zm00001d046937,Zm00001eb389660
ZmGLK34	K7VBX7	GRMZM2G081671,Zm00001d046947,Zm00001eb389770
ZmCA5P7	B4FLF9	GRMZM2G124421,Zm00001d046967,Zm00001eb389900
ZmMYBR86	A0A1D6P5S6	GRMZM2G170148,Zm00001d046974,Zm00001eb389960
ZmGLK32	A0A1D6P5T4	GRMZM2G454449,Zm00001d046981,Zm00001eb390020
ZmbHLH91	K7VC27	GRMZM2G049229,Zm00001d047017,Zm00001eb390330
ZmTUB13	K7WBV8	GRMZM2G349376,Zm00001d047019,Zm00001eb390350,Zm00001eb390360
ZmPLATZ13	A0A3L6DHA5	GRMZM2G093270,Zm00001d047025,Zm00001eb390410,Zm00001eb390420
ZmTHX30	A0A1X7YE92	GRMZM2G428470,Zm00001d000045,Zm00001eb390910,Zm00001eb390920
ZmMYBR31	B4FU55	GRMZM2G034110,Zm00001d000184,Zm00001eb391130
ZmEREB1	Q8GZQ5	GRMZM5G889719,Zm00001d000179,Zm00001eb391180,Zm00001eb391190
ZmOrphan327	A0A1X7YG15	GRMZM2G004483,Zm00001d000176,Zm00001eb391230
ZmGATA28	B6STZ1	GRMZM2G101058,Zm00001d047081,Zm00001eb391280
ZmGRAS71	K7VY97	GRMZM2G117949,Zm00001d047123
ZmTHX34	A0A3L6F925	GRMZM2G162840,Zm00001d050583,Zm00001eb180800
ZmMYB52	B6TCY3	GRMZM2G098179,Zm00001d047182,Zm00001eb392230
ZmMADS76	A0A1D6P8V9	GRMZM2G070034,Zm00001d047355,Zm00001d047356,Zm00001eb393670
ZmOrphan351	A0A1D6P7T8	GRMZM2G431243,Zm00001d047209,Zm00001eb392440
ZmMED26_22	A0A1D6P6B7	GRMZM5G812289,Zm00001d047030,Zm00001eb390450
ZmOrphan189	C0HFF1	GRMZM2G150213,Zm00001d047239,Zm00001eb392700
ZmPLATZ14	A0A1D6P826	GRMZM2G077495,Zm00001d047250,Zm00001eb392830
ZmGRAS74	K7VD41	GRMZM2G359304,Zm00001d047266,Zm00001eb392980
ZmWRKY61	K7VL66	GRMZM2G171428,Zm00001d047309,Zm00001eb393300
ZmEREB67	K7VHR8	GRMZM2G114820,Zm00001d047339,Zm00001eb393510
ZmMED26_18	A0A1D6P9F8	GRMZM2G178663,Zm00001d047434,Zm00001eb394260
ZmOFP37	A0A1D6P8Q6	GRMZM2G137869,Zm00001d047346,Zm00001eb393570,Zm00001eb393580
ZmABI38	K7WD32	GRMZM2G142999,Zm00001d047359,Zm00001eb393690
ZmOrphan44	A0A3L6DDH1	GRMZM2G009163,Zm00001d000391,Zm00001eb393810
ZmOrphan132	A0A1D6P927	GRMZM2G108272,Zm00001d047384,Zm00001eb393910
ZmOrphan89	C0HEP1	GRMZM2G108309,Zm00001d047385,Zm00001eb393920
ZmOrphan32	K7VDJ1	GRMZM2G072573,Zm00001d047412,Zm00001eb394120
ZmGBP9	A0A3L6DAS1	GRMZM2G030458,Zm00001d047421,Zm00001eb394180
ZmMTERF30	A0A1D6P9I1	GRMZM2G157716,Zm00001d047442
ZmbZIP124	B4F7X2	GRMZM2G151295,GRMZM5G809156,Zm00001d047519,Zm00001eb395100
ZmOrphan124	K7VZK4	GRMZM2G084397,Zm00001d047483,Zm00001eb394770
ZmNAC29	B6SUI0	GRMZM2G159500,Zm00001d047554,Zm00001eb395380
ZmHB106	C4JAD9	GRMZM2G162481,Zm00001d047559,Zm00001eb395430
ZmEIL9	B7ZZZ1	GRMZM2G317584,Zm00001d047563,Zm00001eb395480
ZmWRKY65	A0A1D6PBM7	GRMZM2G060918,GRMZM2G060842,Zm00001d047574,Zm00001eb395560
ZmMYB29	B4FNP8	GRMZM2G134279,Zm00001d047579,Zm00001eb395580
ZmPHD21	A0A1D6LJ30	GRMZM2G156129,GRMZM2G156121,Zm00001d045629,Zm00001eb379610
ZmbZIP105	B4FMH2	GRMZM2G056099,GRMZM2G426964,Zm00001d047587,Zm00001eb395630,Zm00001eb395640
ZmbZIP77	K7VIY9	GRMZM2G066734,Zm00001d047644,Zm00001eb396160
ZmSNF2_38	A0A1D6NXW9	GRMZM2G472428,Zm00001d045635,Zm00001eb379660
ZmMYB154	B4FQU7	GRMZM2G022686,Zm00001d047671,Zm00001eb396390
ZmOrphan83	K7VEM0	GRMZM2G006429,Zm00001d047679,Zm00001eb396460
ZmMYBR72	B4G020	GRMZM2G700011,Zm00001d047716
ZmOrphan193	A0A1D6PCS3	GRMZM2G465287,Zm00001d047732,Zm00001eb396970
ZmMADS28	K7VJ68	GRMZM2G128953,Zm00001d047742,Zm00001eb397040
ZmPHD27	A0A3L6DC27	GRMZM2G071613,Zm00001d045755,Zm00001eb380630
ZmLBD41	K7VEV1	GRMZM2G145568,Zm00001d047752,Zm00001eb397130
ZmOrphan208	B8A2Q1	GRMZM2G095727,GRMZM2G095868,Zm00001d047761,Zm00001d047762,Zm00001eb397240,Zm00001eb397250
ZmOrphan231	K7WEP3	GRMZM2G103247,Zm00001d047807,Zm00001eb397680,Zm00001eb397690
ZmHB62	K7WFM4	GRMZM2G105834,Zm00001d047995,Zm00001eb399360
ZmGRAS1	A0A1D6PDQ1	GRMZM2G098784,Zm00001d047813,Zm00001eb397720
ZmIAA40	A0A1D6NRL0	GRMZM2G435290,Zm00001d044818,Zm00001eb372260,Zm00001eb372270
ZmMED6_1	B4FN85	GRMZM2G017537,Zm00001d044902,Zm00001eb372970
ZmPHD37	A0A1D6NTH9	GRMZM2G455243,Zm00001d045080,Zm00001eb374440
ZmTRAF2	B4F8C5	GRMZM2G000909,Zm00001d045494,Zm00001eb378460
ZmBSD9	B4FNU7	GRMZM2G167207,Zm00001d045155,Zm00001eb375210
ZmHAG35	K7VJI7	GRMZM2G050137,Zm00001d046823,Zm00001eb388750
ZmSNF2_2	A0A1D6PA69	GRMZM2G007922,GRMZM2G008066,Zm00001d047471,Zm00001eb394610,Zm00001eb394620
ZmJMJ3	A0A1D6PAF0	GRMZM2G428933,Zm00001d047491,Zm00001eb394830
ZmPHD36	A0A3L6DA93	GRMZM5G889372,GRMZM2G384972,Zm00001d047676,Zm00001eb396440
ZmEREB173	K7W0Y9	GRMZM2G007406,Zm00001d047860,Zm00001eb398110
ZmbHLH143	A0A1D6PEB2	GRMZM2G043854,Zm00001d047878,Zm00001eb398190
ZmRcd1L9	A0A1D6PGY6	GRMZM2G386923,Zm00001d048089,Zm00001eb400200
ZmLBD42	B4FGE2	GRMZM2G150594,Zm00001d047921,Zm00001eb398670
ZmMYBR54	A0A060D3G4	GRMZM2G152319,Zm00001d047960,Zm00001eb399030
ZmC2H2	A0A3L6DEH2	GRMZM2G074032,Zm00001d047976,Zm00001eb399180
ZmbHLH9	A0A1D6PFM5	GRMZM2G407119,Zm00001d047999,Zm00001eb399390
ZmEREB161	A0A1D6PFN0	GRMZM2G021573,Zm00001d048004,Zm00001eb399440
ZmHSF9	B4FF01	GRMZM2G026742,Zm00001d048041,Zm00001eb399800
ZmNAC45	K7WFQ8	GRMZM2G126936,Zm00001d048044,Zm00001eb399810
ZmARR1	C0HE02	GRMZM2G126834,Zm00001d048046,Zm00001eb399830
ZmNAC102	A0A1D6PGR9	GRMZM5G894234,AC233893.1_FG002,Zm00001d048059,Zm00001eb399930
ZmMADS8	K7VP37	GRMZM2G102161,Zm00001d048082,Zm00001eb400120
ZmYAB7	C4J928	GRMZM2G102218,Zm00001d048083,Zm00001eb400130
ZmOrphan27	B4F936	GRMZM2G130943,Zm00001d048131,Zm00001eb400570
ZmOrphan93	C0PCF1	GRMZM2G154149,Zm00001d048138,Zm00001eb400640
ZmGRAS45	A0A1D6PIF4	GRMZM2G028039,Zm00001d048199,Zm00001eb401210
ZmIAA36	A0A1D6JUL1	GRMZM2G137367,Zm00001d027494,Zm00001d027495,Zm00001eb002330,Zm00001eb002340
ZmEREB71	B4FZ51	GRMZM2G113060,Zm00001d048208,Zm00001eb401290
ZmHB12	A0A1D6PIK5	AC233899.1_FG004,Zm00001d048227,Zm00001eb401450
ZmbHLH21	K7WGI1	AC233899.1_FG002,Zm00001d048229,Zm00001eb401480
ZmABI43	K7VPP2	GRMZM2G028794,Zm00001d048244,Zm00001eb401610
ZmZIM4	B6TTL0	GRMZM2G036351,Zm00001d048263
ZmZIM14	K7VPS1	GRMZM2G036288,Zm00001d048268,Zm00001eb401760
ZmEREB48	K7W2Q8	GRMZM2G376255,Zm00001d048296,Zm00001eb402030,Zm00001eb402040
ZmEREB124	K7W2R5	GRMZM2G399098,Zm00001d048297,Zm00001eb402050
ZmbHLH97	B6TXZ4	AC149829.2_FG004,Zm00001d048309,Zm00001eb402170
ZmOrphan176	K7VHF5	GRMZM2G126802,Zm00001d048352
ZmHB22	C4JBN7	GRMZM2G178741,Zm00001d048312,Zm00001eb402220,Zm00001eb402230
ZmNAC39	K7WH16	GRMZM2G126817,Zm00001d048347,Zm00001eb402580
ZmOrphan223	B4F9M4	GRMZM2G010017,Zm00001d048359,Zm00001eb402720
ZmLBD43	A0A1D6PJV6	AC149818.2_FG009,Zm00001d048401,Zm00001eb403030
ZmHB58	A0A1D6JKR4	GRMZM2G042250,Zm00001d027317,Zm00001eb000690
ZmOrphan194	B4FFD4	GRMZM2G057529,Zm00001d048369,Zm00001eb402800,Zm00001eb402810
ZmMYB165	B6T635	GRMZM2G089686,Zm00001d048383,Zm00001eb402890
ZmMADS56	A0A317Y8W8	GRMZM2G026223,Zm00001d027425,Zm00001eb001670
ZmGATA10	A0A1D6PJR4	GRMZM2G532534,Zm00001d048391,Zm00001eb402950
ZmE2F6	C0PCD8	GRMZM2G063387,Zm00001d048412,Zm00001eb403140
ZmbHLH84	A0A317Y6E1	GRMZM2G159456,Zm00001d027859,Zm00001eb005540
ZmOrphan241	K7W377	GRMZM2G030882,Zm00001d048437,Zm00001eb403360
ZmGLK30	A0A1D6PKN5	GRMZM2G374986,Zm00001d048448,Zm00001eb403500
ZmbZIP64	K7WHC4	GRMZM2G473274,Zm00001d048455,Zm00001eb403570
ZmHB20	P56659	GRMZM2G060507,Zm00001d048471,Zm00001eb403720
ZmMADS1	Q9FR85	GRMZM2G171365,Zm00001d048474,Zm00001eb403750
ZmbHLH131	A0A1D6PKX5	GRMZM2G171464,Zm00001d048478,Zm00001eb403770
ZmNAC57	B8A0L4	GRMZM2G174070,Zm00001d048493,Zm00001eb403880
ZmHB133	C0PDB8	GRMZM2G109987,Zm00001d048527,Zm00001eb404260
ZmLIM2	A0A1D6JXK9	GRMZM2G160198,Zm00001d028567,Zm00001eb011970
ZmGRAS53	A0A060CVG2	GRMZM2G060265,GRMZM2G361164,Zm00001d027292,Zm00001eb000460,Zm00001eb000470
ZmTHX18	A0A1D6JL37	GRMZM2G314660,Zm00001d027335,Zm00001eb000880
ZmNAC78	A0A1D6JLP2	GRMZM2G406204,Zm00001d027395,Zm00001eb001460
ZmABI8	A0A317Y3I0	GRMZM2G082227,Zm00001d027409,Zm00001eb001550
ZmbHLH140	A0A1D6JM27	GRMZM2G475289,Zm00001d027419,Zm00001eb001630
ZmHB51	B6TPJ2	GRMZM2G159431,Zm00001d027431,Zm00001eb001720
ZmOFP1	B6SH05	GRMZM2G055737,Zm00001d027453,Zm00001eb001920
ZmZIM26	B6TXD0	GRMZM2G343157,Zm00001d027899,Zm00001eb005980
ZmHB30	B6SZ15	GRMZM2G327059,Zm00001d027435,Zm00001eb001770
ZmNAC33	A0A1D6JMA6	GRMZM2G025642,Zm00001d027459,Zm00001eb001990
ZmbZIP114	A0A1D6JMA9	GRMZM2G428184,Zm00001d027461,Zm00001eb002010
ZmGLK48	C0PKU1	GRMZM5G887276,Zm00001d027492,Zm00001eb002310
ZmbHLH49	A0A1D6JMJ6	GRMZM2G137374,Zm00001d027496,Zm00001eb002350
ZmbHLH50	A0A1D6MC37	GRMZM2G137380,Zm00001d027497,Zm00001eb002360,Zm00001eb002370
ZmNLP7	A0A1D6JMR3	GRMZM2G109509,GRMZM2G409976,Zm00001d027509,Zm00001d027510,Zm00001eb002480,Zm00001eb002490
ZmNAC53	A0A1D6JMV6	GRMZM2G059428,Zm00001d027530,Zm00001eb002660
ZmbHLH35	A0A1D6JMY8	GRMZM2G173372,Zm00001d027546,Zm00001eb002830
ZmOrphan14	C0P4W6	AC155624.2_FG006,Zm00001d027570,Zm00001eb003000
ZmOrphan357	B4FZ34	GRMZM5G833774,Zm00001d027571,Zm00001eb003010
ZmOrphan158	A0A317YE21	GRMZM5G891266,Zm00001d027572,Zm00001eb003020
ZmBZR9	A0A1D6JN70	GRMZM2G152172,Zm00001d027587,Zm00001eb003120
ZmMYB120	A0A317Y2N2	GRMZM2G054111,Zm00001d027623,Zm00001eb003470
ZmOrphan24	A0A1D6JN97	GRMZM2G474258,Zm00001d027598,Zm00001eb003210
ZmLBD1	A0A317YAH7	GRMZM2G092483,Zm00001d027678,Zm00001eb003910
ZmLBD2	A5H448	GRMZM2G092542,Zm00001d027679,Zm00001eb003920
ZmEREB95	A0A060D5Z3	AC198979.4_FG009,Zm00001d027686,Zm00001d027687,Zm00001eb004020
ZmE2F19	A0A317YFG1	GRMZM2G086072,Zm00001d027709,Zm00001eb004190
ZmOFP2	A0A1D6JP56	GRMZM2G096252,Zm00001d027739,Zm00001eb004450,Zm00001eb004460
ZmbHLH110	A0A1D6JPC4	GRMZM2G452996,Zm00001d027753,Zm00001eb004600
ZmHSF13	B8A239	GRMZM2G165972,Zm00001d027757,Zm00001eb004670
ZmHB64	A0A060D8L1	GRMZM2G004641,Zm00001d027802,Zm00001eb005020
ZmCA2P11	C0HIE4	GRMZM2G000686,Zm00001d027874,Zm00001eb005690
ZmbHLH74	A0A317Y4L4	GRMZM2G035156,Zm00001d027855,Zm00001eb005500
ZmDOF21	B4FDH4	GRMZM2G162749,Zm00001d027846,Zm00001eb005380
ZmHB102	A0A060D3B5	GRMZM2G139963,Zm00001d027852,Zm00001eb005440
ZmEREB38	A0A060D220	GRMZM2G419901,Zm00001d027870,Zm00001eb005650
ZmMYBR102	A0A1D6K056	GRMZM2G129872,GRMZM2G335358,Zm00001d028845,Zm00001eb014280
ZmEREB130	A0A1D6JQB7	GRMZM2G399072,Zm00001d027878,Zm00001eb005740
ZmZIM27	C0P4B4	GRMZM5G838098,Zm00001d027900,Zm00001eb005990
ZmZIM16	A0A060D890	GRMZM2G445634,Zm00001d027901,Zm00001eb006000
ZmEREB179	B4FIY3	GRMZM2G129674,Zm00001d027924,Zm00001eb006160
ZmEREB180	B4FQB2	GRMZM2G018984,Zm00001d027925,Zm00001eb006180
ZmRB3	Q3LXA7	GRMZM2G033828,Zm00001d031678,Zm00001eb037120
ZmEREB181	C4JA41	AC206951.3_FG016,Zm00001d027928,Zm00001eb006200
ZmEREB182	C0PJT2	AC206951.3_FG017,Zm00001d027929,Zm00001eb006210
ZmABI7	A0A1D6JQU4	GRMZM2G109480,Zm00001d027939,Zm00001eb006360
ZmMADS68	B4FG10	GRMZM2G059102,Zm00001d027955,Zm00001d027957,Zm00001eb006480
ZmbHLH160	A0A1D6JR54	GRMZM2G006631,Zm00001d027987,Zm00001eb006680
ZmHB5	A0A317Y3B2	GRMZM2G132367,Zm00001d027991,Zm00001eb006700,Zm00001eb006710
ZmCAMTA4	A0A1D6JR86	GRMZM2G447551,Zm00001d028007,Zm00001eb006890
ZmEREB101	B4FKR7	GRMZM2G003466,Zm00001d028017,Zm00001eb007000
ZmOrphan283	A0A1D6JRM0	GRMZM2G004523,Zm00001d028056,Zm00001eb007280
ZmEREB120	A0A1D6JRM7	AC200038.4_FG011,GRMZM2G703514,Zm00001d028066,Zm00001eb007330,Zm00001eb007340,Zm00001eb007350
ZmOrphan164	A0A1D6JRM7	GRMZM2G703514,AC200038.4_FG011,Zm00001d028066,Zm00001eb007330,Zm00001eb007340,Zm00001eb007350
ZmEREB123	A0A1D6JRM8	GRMZM2G461907,Zm00001d028068,Zm00001eb007370
ZmOrphan324	A0A1D6JRM9	GRMZM2G461905,Zm00001d028069,Zm00001eb007390,Zm00001eb007400,Zm00001eb007410
ZmEREB35	A0A1D6JRN0	GRMZM2G415251,Zm00001d028070,Zm00001eb007420,Zm00001eb007430
ZmOrphan277	A0A1D6JRP7	GRMZM2G114055,GRMZM2G110847,Zm00001d028075,Zm00001eb007510
ZmHB68	B4G1C5	GRMZM2G005624,Zm00001d028129,Zm00001eb007950
ZmOFP3	A0A060D186	GRMZM2G121706,Zm00001eb007990
ZmMED31	B4FF88	GRMZM2G139683,AC215309.3_FG004,Zm00001d031902,Zm00001d031903,Zm00001eb038950
ZmNAC64	A0A1D6JSL3	GRMZM2G077045,Zm00001d028178,Zm00001eb008350
ZmYAB2	B6T6E1	GRMZM2G088309,Zm00001d028216,Zm00001eb008680
ZmMADS14	A0A1D6JT80	GRMZM2G099522,Zm00001d028217,Zm00001eb008690
ZmARR3	A0A096RK27	GRMZM2G099797,Zm00001d028265,Zm00001eb009140
ZmHSF14	A0A1D6JU40	GRMZM2G118485,GRMZM2G118529,Zm00001d028269,Zm00001eb009170,Zm00001eb009210
ZmbHLH3	A0A1D6JU85	GRMZM2G180452,Zm00001d028297,Zm00001eb009490
ZmHB45	B4FF66	GRMZM2G126808,Zm00001d028304,Zm00001eb009550
ZmZIM22	B6SNX5	GRMZM2G110131,Zm00001d028313,Zm00001eb009620
ZmC2H25	A0A317Y4Z4	GRMZM2G465595,Zm00001d028361,Zm00001eb010050
ZmbZIP115	C0PE09	GRMZM2G157177,Zm00001d028372,Zm00001eb010190
ZmJMJ20	A0A1D6PJW6	AC149475.2_FG005,Zm00001d048404,Zm00001eb403060
ZmMYBR59	A0A1D6JVM4	GRMZM2G085427,GRMZM2G104255,Zm00001d028380,Zm00001eb010270,Zm00001eb010280
ZmLBD3	C0HGH5	GRMZM2G110913,Zm00001d028413,Zm00001eb010570
ZmCA5P11	B6SWV5	GRMZM2G089812,Zm00001d028432,Zm00001eb010770
ZmFARL1	A0A1D6JWH8	GRMZM2G001663,Zm00001d028472,Zm00001eb011070
ZmbHLH56	A0A1D6JWU3	GRMZM2G072376,GRMZM2G072342,Zm00001d028504,Zm00001eb011370
ZmEREB4	A0A1D6JX27	GRMZM2G015281,Zm00001d028524,Zm00001eb011550
ZmGRAS61	A0A060CZR1	GRMZM2G055263,Zm00001d028526,Zm00001eb011560
